split_index,outer_seed,architecture,n_base_models,MAE,RMSE,R2,Pearson_r,Spearman_r,training_time,prediction_time
1,7,RF,1,0.10758684711148803,0.17846167703677135,0.8584541554314435,0.9270712746964836,0.9320735501564935,223.65668940544128,0.0
1,7,ET,1,0.10917054112452637,0.17472967708576118,0.8643122837129686,0.9317240012211391,0.9367281839502666,318.2072489261627,0.0
1,7,XGBoost,1,0.12683701497452748,0.17835856141420806,0.8586176792920487,0.9301491765389776,0.9312209154299953,43.69912314414978,0.0
1,7,DNN,1,0.45704632745056506,0.6515344919834973,-0.8866094632847787,0.5019990135819992,0.5395013064353968,49.841792345047,0.0
1,7,RF + ET,2,0.10742800175539724,0.17179368445197496,0.868833909998162,0.9321972441407558,0.9374844801434071,541.8709383010864,0.006999969482421875
1,7,RF + XGBoost,2,0.11092639849279914,0.16596574963180535,0.8775823246390817,0.9369425789635684,0.9419170263538015,267.35581254959106,0.0009999275207519531
1,7,RF + DNN,2,0.11095823255443596,0.17943356244117079,0.8569082669324048,0.9257304835211769,0.9317159108784152,273.4994819164276,0.0010001659393310547
1,7,ET + XGBoost,2,0.11101222171575392,0.16855423047308749,0.8737339778448042,0.934914952006608,0.9400212293188818,361.90737199783325,0.0009999275207519531
1,7,ET + DNN,2,0.10918189894200576,0.17308869870215335,0.8668489455044117,0.9311799992795313,0.9368667608096531,368.0490412712097,0.0
1,7,XGBoost + DNN,2,0.12488903481707954,0.17524841224900928,0.8635054319939708,0.9298446724088029,0.9315139221228202,93.54091548919678,0.0009992122650146484
1,7,RF + ET + XGBoost,3,0.10948356636197606,0.16675688899781838,0.8764124413675647,0.9363036090182597,0.9410188733756085,585.564061164856,0.0009996891021728516
1,7,RF + ET + DNN,3,0.10846853272031624,0.17245224587369862,0.8678263468249245,0.9316842207426389,0.9380535472464497,591.7067313194275,0.0010006427764892578
1,7,RF + XGBoost + DNN,3,0.11157126518430646,0.16623906072458475,0.8771787997192964,0.9367552642965042,0.94176095655753,317.19760489463806,0.0009999275207519531
1,7,ET + XGBoost + DNN,3,0.11147549969130395,0.16881192329696046,0.873347601064646,0.9347322592960224,0.9399783169580855,411.7481644153595,0.00099945068359375
1,7,RF + ET + XGBoost + DNN,4,0.10991782521431356,0.1669943071572051,0.8760602781857683,0.9361373251771234,0.9413599856448674,635.4058532714844,0.00099945068359375
2,19,RF,1,0.12943421391398938,0.1951410068535882,0.8289542236504377,0.9115864692083896,0.9030455074777627,227.61530876159668,0.0
2,19,ET,1,0.11779791169604366,0.17642603573799812,0.8601892314430732,0.9296872045562481,0.9252135846886834,324.98089265823364,0.0
2,19,XGBoost,1,0.13189146308292637,0.18279598865759938,0.8499110933087949,0.9229865972899844,0.9128026175997349,43.510982036590576,0.0
2,19,DNN,1,0.45396450525120735,0.6348703259182411,-0.8104449699066008,0.5520814891744267,0.5753419527969648,50.90716481208801,0.0
2,19,RF + ET,2,0.11899379873125777,0.17818773636598673,0.8573831325072534,0.9259621470840618,0.921116410317698,552.5962014198303,0.0
2,19,RF + XGBoost,2,0.11961882616758189,0.17629632430166198,0.8603947384015849,0.9276075091426697,0.9210502651410617,271.12629079818726,0.0010008811950683594
2,19,RF + DNN,2,0.1297598384372632,0.1942130935427002,0.8305770327307698,0.9114325635113091,0.9022877211319691,278.52347350120544,0.0009999275207519531
